Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Enabled LML Repair - North Seattle,Current Quantity LML Repair - North Seattle,New Quantity LML Repair - North Seattle,Stock Alert Enabled LML Repair - North Seattle,Stock Alert Count LML Repair - North Seattle,Price LML Repair - North Seattle,Enabled LML Repair - Seattle,Current Quantity LML Repair - Seattle,New Quantity LML Repair - Seattle,Stock Alert Enabled LML Repair - Seattle,Stock Alert Count LML Repair - Seattle,Price LML Repair - Seattle,Enabled LML Repair - West Seattle,Current Quantity LML Repair - West Seattle,New Quantity LML Repair - West Seattle,Stock Alert Enabled LML Repair - West Seattle,Stock Alert Count LML Repair - West Seattle,Price LML Repair - West Seattle,Modifier Set - Add Ons
AWO2J2TXG4ZCTITTIXJLM74L,Apple Watch Series 1 (42MM) Screen | Part,Regular,,"The Apple Watch Series 1 (42MM) Parts Kit is expertly designed to help you restore and repair your Apple Watch to its original condition. This kit includes a selection of high-quality replacement parts such as the display assembly, battery, back cover, charging port, and more. Each component is crafted to ensure compatibility and performance with your Series 1 (42MM) model.",,,,,,,hidden,Physical good,,,,Y,N,N,N,68.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
Z2RICERLIWOFXEOVTC4MI2OR,Apple Watch Series 2 (38MM) Screen | Part,Regular,,"<p><em>The Apple Watch Series 2 (38MM) Parts Kit is the ultimate solution for repairing and refurbishing your Apple Watch. This kit features high-quality replacement components tailored specifically for the 38MM Series 2 model. It includes essential parts such as the screen assembly, battery, back cover, digital crown, and more.</em></p><p><em>Each component is designed to match the original specifications, ensuring a perfect fit and restoring your watch’s functionality and appearance. The kit also comes with precision tools and easy-to-follow instructions, making it suitable for both beginners and experienced repair technicians.</em></p>",,,,,,,hidden,Physical good,,,,Y,N,N,N,100.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
C37K6SBMZXRZ5SZLDCFJ3BDY,Apple Watch Series 2 (38MM) Screen | Repair Kit,Regular,2387191,"<p><em>The Apple Watch Series 2 (38MM) Repair Kit is the ultimate solution for repairing and refurbishing your Apple Watch. This kit features high-quality replacement components tailored specifically for the 38MM Series 2 model. It includes essential parts such as the screen assembly, battery, back cover, digital crown, and more.</em></p><p><em>Each component is designed to match the original specifications, ensuring a perfect fit and restoring your watch’s functionality and appearance. The kit also comes with precision tools and easy-to-follow instructions, making it suitable for both beginners and experienced repair technicians.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,,,,visible,Physical good,,,,Y,N,N,N,100.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,,,,,,N
3W4HPRQO32ACPG4JDGDYCOKU,Apple Watch Series 2 (42MM) Screen | Part,Regular,,"The Apple Watch Series 2 (42MM) Parts Kit is an essential collection for anyone looking to repair or upgrade their Apple Watch. This comprehensive kit includes high-quality replacement components tailored specifically for the 42MM Series 2 model. Parts available in the kit encompass the display assembly, battery, back cover, charging port, and various internal components.",,,,,,,hidden,Physical good,,,,Y,N,N,N,100.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
O7K4DNM2T3K2KBEEBV7GDSWN,Apple Watch Series 2 (42MM) Screen | Repair Kit,Regular,A119832,"<p><em>The Apple Watch Series 2 (42MM) Parts Kit is the ultimate solution for repairing and refurbishing your Apple Watch. This kit features high-quality replacement components tailored specifically for the 42MM Series 2 model. It includes essential parts such as the screen assembly, battery, back cover, digital crown, and more.</em></p><p><em>Each component is designed to match the original specifications, ensuring a perfect fit and restoring your watch’s functionality and appearance. The kit also comes with precision tools and easy-to-follow instructions, making it suitable for both beginners and experienced repair technicians.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,,,,visible,Physical good,,,,Y,N,N,N,100.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,,,,,,N
6QRKIUZACTHKM2JPVI2RNCUR,Apple Watch Series 3 (42MM) Screen | Part,Regular,,"<p><em>The Apple Watch Series 3 (42MM) Parts Kit offers a complete solution for repairing and replacing various components of your Apple Watch. This kit includes high-quality replacement parts such as the display assembly, battery, back cover, and more, each designed to restore your watch’s original functionality and appearance.</em></p><p><em>The kit comes with precision tools and easy-to-follow instructions, making it suitable for both beginners and experienced repair technicians.</em></p>",,,,,,,hidden,Physical good,,,,Y,N,N,N,106.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
PPB4Z2SHNLQERCWTUWE7VDRZ,Apple Watch Series 3 (42MM) Screen | Repair Kit,Regular,,"<p><em>The &#34;Apple iWatch Series 3 (42MM) Screen | Repair Kit&#34; is a comprehensive solution for replacing a damaged or broken screen on an Apple iWatch Series 3 with a 42MM display. This repair kit typically includes a high-quality replacement screen, necessary tools for the repair process, and adhesive strips. Designed for ease of use, it allows users to restore their watch&#39;s functionality and appearance with minimal technical expertise. Ideal for DIY repairs, the kit ensures a precise fit and high performance, helping to extend the life of your iWatch Series 3.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,,,,visible,Physical good,,,,Y,N,N,N,106.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
QUOHLBRW3BYSLG6PFDHEHQ2F,Apple Watch Series 5 / SE (1st Gen) (40MM) Screen | Part,Regular,,"<p><em>The Apple Watch Series 5 / SE (1st Gen) (40MM) Parts Kit is designed for those looking to repair or replace components of their 40MM Apple Watch. This all-inclusive kit features high-quality replacement parts such as the screen assembly, battery, back cover, and various internal components. Each part is crafted to match the original specifications, ensuring that your watch will maintain its functionality and sleek appearance after repairs.</em></p><p><em>Included with the parts are precision tools and step-by-step instructions, making it suitable for both DIY enthusiasts and experienced technicians. </em></p>",,,,,,,hidden,Physical good,,,,Y,N,N,N,130.00,,N,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
AXZHFVGQU5YTDTK67PSONHGE,Apple Watch Series 5 / SE (1st Gen) (44MM) Screen | Part,Regular,,"<p><em>The Apple Watch Series 5 / SE (1st Gen) (44MM) Parts Kit is a complete solution for repairing and restoring your Apple Watch. This kit includes high-quality replacement parts such as the screen assembly, battery, back cover, and other essential components. Each part is designed to match the original specifications of your watch, ensuring seamless functionality and a perfect fit.</em></p><p><em>The kit comes with precision tools and easy-to-follow instructions, making it suitable for both beginners and experienced technicians.</em></p>",,,,,,,hidden,Physical good,,,,Y,N,N,N,141.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
X4ZNL7SFQXDOF6JR3EKFAEUY,Apple Watch Series 6 (40MM) Screen | Part,Regular,,"The Apple Watch Series 6 (40MM) Parts Kit is an essential collection for repairing and maintaining your Apple Watch. This kit includes high-quality replacement components such as the screen assembly, battery, back cover, and various internal parts. Each component is designed to restore your watch's original functionality and appearance.",,,,,,,hidden,Physical good,,,,Y,N,N,N,90.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
VHH3PC6Q5SQEMAC42ERTQIZ4,Apple Watch Series 6 (40MM) Screen | Repair Kit,Regular,,"<p><em>This repair kit includes a high-quality replacement screen for the Apple Watch Series 6 (40MM) and all the necessary tools for a successful installation. It features a precision-engineered display to restore the clarity and functionality of your watch. Ideal for fixing cracks, dead pixels, or touch sensitivity issues, the kit ensures a smooth, DIY repair experience with step-by-step instructions included.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,"This repair kit includes a high-quality replacement screen for the Apple Watch Series 6 (40MM) and all the necessary tools for a successful installation. It features a precision-engineered display to restore the clarity and functionality of your watch. Ideal for fixing cracks, dead pixels, or touch sensitivity issues, the kit ensures a smooth, DIY repair experience with step-by-step instructions included.",,,visible,Physical good,,,,Y,N,N,N,90.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
VUJJFNNFFEJE3NFGLHJ3R24O,Apple Watch Series 6 (44MM) Screen | Part,Regular,,"<p><em>The Apple Watch Series 6 (44MM) Parts Kit is designed to help you restore your smartwatch to peak performance. This all-inclusive kit features high-quality replacement components such as the display assembly, battery, rear cover, digital crown, and more. Each part is engineered to match the original specifications of your Apple Watch Series 6, ensuring seamless functionality and a flawless appearance.</em></p><p><em>The kit comes with precision tools and easy-to-follow instructions, making it suitable for both DIY enthusiasts and experienced technicians.</em></p>",,,,,,,hidden,Physical good,,,,Y,N,N,N,131.00,,N,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
Q3YVJXJ5MKNPGSFYVGPVCK6S,Apple Watch Series 6 (44MM) Screen | Repair Kit,Regular,,"<p><em>Apple Watch Series 6 (44MM) Screen Repair Kit This kit provides everything needed to replace a damaged or cracked screen on an Apple Watch Series 6 (44MM). It includes a high-quality replacement screen, essential tools for the repair process, and detailed instructions to guide you through the replacement. Ideal for DIY enthusiasts, the kit ensures your watch is restored to its original functionality and appearance.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,"Apple Watch Series 6 (44MM) Screen Repair Kit This kit provides everything needed to replace a damaged or cracked screen on an Apple Watch Series 6 (44MM). It includes a high-quality replacement screen, essential tools for the repair process, and detailed instructions to guide you through the replacement. Ideal for DIY enthusiasts, the kit ensures your watch is restored to its original functionality and appearance.",,,visible,Physical good,,,,Y,N,N,N,131.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,2,,,,,N
O3UKERPOFV4CCTL3Y3GUIK3A,Apple Watch Series 7 (41MM) Screen | Part,Regular,,"<p><em>The Apple Watch Series 7 (41MM) Parts Kit offers a complete solution for repairing and restoring your smartwatch. This kit includes high-quality replacement parts such as the display assembly, battery, back cover, and internal components. Each part is designed to match the original specifications of your Apple Watch Series 7, ensuring a seamless repair and restored functionality.</em></p><p><em>The kit also comes with precision tools and clear, step-by-step instructions, making it accessible for both beginners and experienced repair enthusiasts. </em></p>",,,,,,,hidden,Physical good,,,,Y,N,N,N,102.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
M7YGUBDGRBR4YNK6F5DV7CL4,Apple Watch Series 7 (41MM) Screen | Repair Kit,Regular,,"<p><em>The Apple Watch Series 7 (41MM) Screen Repair Kit includes all the necessary tools and components to replace a damaged or cracked screen on the 41mm model of the Apple Watch Series 7. The kit typically contains a high-quality replacement screen, adhesive strips, precision screwdrivers, a pry tool, and other essential tools to ensure a successful repair. This kit is designed for users who need to fix their Apple Watch at home, offering a cost-effective alternative to professional repair services.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,"The Apple Watch Series 7 (41MM) Screen Repair Kit includes all the necessary tools and components to replace a damaged or cracked screen on the 41mm model of the Apple Watch Series 7. The kit typically contains a high-quality replacement screen, adhesive strips, precision screwdrivers, a pry tool, and other essential tools to ensure a successful repair. This kit is designed for users who need to fix their Apple Watch at home, offering a cost-effective alternative to professional repair services.",,,visible,Physical good,,,,Y,N,N,N,102.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
RZAC6IW4CT7NL6H7Z6S3KCCW,Apple Watch Series 7 (45MM)  Screen | Repair Kit,Regular,,"<p><br/></p><p><em>The Apple Watch Series 7 (45MM) Screen Repair Kit includes all necessary tools and components to replace a damaged or cracked screen on your Apple Watch Series 7. The kit features a high-quality replacement screen, precision tools for disassembly, adhesive strips, and detailed instructions for a seamless repair process. Ideal for DIY enthusiasts, it restores the functionality and appearance of your smartwatch, ensuring it looks and performs like new.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,,,,visible,Physical good,,,,Y,N,N,N,105.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
YUEA3ROWQQFKWX5XF5MMNMXG,Apple Watch Series 7 (45MM) Screen | Part,Regular,,"<p><em>The Apple Watch Series 7 (45MM) Parts Kit is designed for those looking to repair or replace components of their Apple Watch Series 7. This kit includes high-quality replacement parts such as the screen assembly, battery, back cover, digital crown, and more. Each component is engineered to restore your watch&#39;s functionality and appearance to its original condition.</em></p><p><em>The kit comes with precision tools and step-by-step instructions to ensure a seamless repair process, making it suitable for both beginners and experienced repair enthusiasts. </em></p>",,,,,,,hidden,Physical good,,,,Y,N,N,N,105.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
TOISFCX4ULYYJ6H5JUXH5ZKK,Apple Watch Series 8 (41MM) Screen | Part,Regular,,"<p><em>The Apple Watch Series 8 (41MM) Parts Kit is designed to help you restore and repair your smartwatch with ease. This all-inclusive kit features high-quality replacement components, including the screen assembly, battery, back cover, and various internal parts. Each piece is engineered to meet or exceed original specifications, ensuring your Apple Watch performs like new.</em></p><p><em>The kit comes with precision tools and step-by-step instructions, making it suitable for both beginners and experienced technicians.</em></p>",,,,,,,hidden,Physical good,,,,Y,N,N,N,129.00,,N,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
MZMDRRG34XTM7F3H6HC3LIU4,Apple Watch Series 8 (41MM) Screen | Repair Kit,Regular,,"<p><em>The &#34;Apple Watch Series 8 (41MM) Screen Repair Kit&#34; is an all-in-one solution for fixing your Apple Watch screen. It includes a high-quality replacement screen, essential tools, and easy-to-follow instructions, making it suitable for both beginners and experts. This kit helps you restore your watch&#39;s functionality and appearance, offering a cost-effective alternative to professional repairs. Enjoy the convenience of repairing your Apple Watch at home with this comprehensive repair kit.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,"The ""Apple Watch Series 8 (41MM) Screen Repair Kit"" is an all-in-one solution for fixing your Apple Watch screen. It includes a high-quality replacement screen, essential tools, and easy-to-follow instructions, making it suitable for both beginners and experts. This kit helps you restore your watch's functionality and appearance, offering a cost-effective alternative to professional repairs. Enjoy the convenience of repairing your Apple Watch at home with this comprehensive repair kit.",,,visible,Physical good,,,,Y,N,N,N,129.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
KMGG62WS2IVTYNPLTO2YNTHM,Apple Watch Series 8 (45MM) Screen | Part,Regular,,"The Apple Watch Series 8 (45MM) Parts Kit is designed to help you repair and restore your Apple Watch with ease. This kit includes a range of high-quality replacement parts such as the screen assembly, battery, back cover, and more. Each component is crafted to match the original specifications of your device, ensuring optimal performance and appearance.
The kit comes with precision tools and step-by-step instructions, making it suitable for both DIY enthusiasts and professional technicians.",,,,,,,hidden,Physical good,,,,Y,N,N,N,165.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
WXFEIFUXND24JZOO5CKTK7X3,Apple Watch Series 8 (45MM) Screen | Repair Kit,Regular,,"<p><em>The &#34;Apple Watch Series 8 (45MM) Screen Repair Kit&#34; is a complete solution for replacing the screen on your Apple Watch Series 8. It includes a high-quality replacement screen, precision tools, adhesive strips, and step-by-step instructions. Ideal for DIY repairs, this kit helps you restore your watch&#39;s functionality and appearance efficiently and cost-effectively.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,"The ""Apple Watch Series 8 (45MM) Screen Repair Kit"" is a complete solution for replacing the screen on your Apple Watch Series 8. It includes a high-quality replacement screen, precision tools, adhesive strips, and step-by-step instructions. Ideal for DIY repairs, this kit helps you restore your watch's functionality and appearance efficiently and cost-effectively.",,,visible,Physical good,,,,Y,N,N,N,165.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
NNMQXGDS2RG3JCRGEGJFJDW2,Apple Watch Series 9 (41MM) Screen | Part,Regular,,"<p><em>The Apple Watch Series 9 (41MM) Parts Kit is expertly designed to cater to the repair needs of your Apple Watch. This comprehensive kit includes high-quality replacement components such as the screen assembly, battery, back cover, digital crown, and more. Each part is engineered to match the original specifications, ensuring that your watch retains its optimal functionality and sleek appearance.</em></p><p><em>The kit comes with precision tools and step-by-step instructions, making it suitable for both DIY enthusiasts and professional technicians.</em></p>",,,,,,,hidden,Physical good,,,,Y,N,N,N,187.00,,N,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
NKMABBWIRGIUJTGH2XJ55EHP,Apple Watch Series 9 (41MM) Screen | Repair Kit,Regular,,"<p><em>Revive your Apple Watch Series 9 (41MM) with our Screen Repair Kit. This kit includes a high-quality replacement screen, precision tools, adhesive strips, and an easy-to-follow guide, making DIY repairs simple and cost-effective. Restore your watch&#39;s appearance and functionality with this reliable and user-friendly solution.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,,,,visible,Physical good,,,,Y,N,N,N,187.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
CC4BCDB3LJGFP3WKF4WT5UY6,Apple Watch Series 9 (45MM) Screen | Part,Regular,,"<p><em>The Apple Watch Series 9 (45MM) Parts Kit offers a comprehensive selection of high-quality replacement components for your Apple Watch. Designed for precision and durability, this kit includes essential parts such as the display assembly, battery, back cover, sensor modules, and more. Each component is engineered to restore the full functionality and sleek appearance of your watch.</em></p><p><em>The kit comes with all necessary tools and step-by-step instructions, making it suitable for both beginners and experienced repair enthusiasts.</em></p>",,,,,,,hidden,Physical good,,,,Y,N,N,N,188.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
623GQLTKZYI6IRTSQTDZCS5N,Apple Watch Series 9 (45MM) Screen | Repair Kit,Regular,,"<p><em>The Apple Watch Series 9 (45MM) Screen Repair Kit includes a high-quality replacement screen, precision tools, adhesive, and step-by-step instructions. Designed for durability and clarity, it allows for easy at-home repairs, restoring your watch&#39;s functionality and appearance. Save time and money with this comprehensive DIY repair solution.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,"The Apple Watch Series 9 (45MM) Screen Repair Kit includes a high-quality replacement screen, precision tools, adhesive, and step-by-step instructions. Designed for durability and clarity, it allows for easy at-home repairs, restoring your watch's functionality and appearance. Save time and money with this comprehensive DIY repair solution.",,,visible,Physical good,,,,Y,N,N,N,188.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
UYJZQGLPYSMXS623TGUB6GLQ,Apple Watch Series SE 2nd Gen (40MM) Screen | Part,Regular,,"<p><em>The Apple Watch Series SE 2nd Gen (40MM) Parts Kit is expertly designed for repairing and restoring your smartwatch. This kit features high-quality replacement components, including the display assembly, battery, back cover, and various internal parts. Each component is crafted to ensure seamless compatibility and performance, preserving the sleek design and functionality of your Apple Watch.</em></p><p><em>Accompanied by precision tools and step-by-step instructions, this kit is suitable for both beginners and experienced technicians.</em></p>",,,,,,,hidden,Physical good,,,,Y,N,N,N,128.00,,N,,N,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N
JFBI6DDETQGIXAAOJL3GSRXB,Apple Watch Series SE 2nd Gen (40MM) Screen | Repair Kit,Regular,,"<p><em>The Apple Watch Series SE 2nd Gen (40MM) Screen Repair Kit offers a high-quality replacement screen and necessary tools for DIY repairs. It includes a detailed installation guide for a seamless replacement, ideal for fixing cracked or damaged screens on the 40mm model of the Series SE 2nd Generation.</em></p>",Apple > Apple Watch,Apple > Apple Watch,,"The Apple Watch Series SE 2nd Gen (40MM) Screen Repair Kit offers a high-quality replacement screen and necessary tools for DIY repairs. It includes a detailed installation guide for a seamless replacement, ideal for fixing cracked or damaged screens on the 40mm model of the Series SE 2nd Generation.",,,visible,Physical good,,,,Y,N,N,N,128.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,1,,,,,N
